year,metabolite,SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday
2021,amphetamine,AT001,AT,Graz,47.15,37.48,37.95,38.02,38.14,35.82,35.45
2021,amphetamine,AT002,AT,Hall-Wattens,8.37,7.08,6.88,4.25,6.17,8.25,7.77
2021,amphetamine,AT004,AT,Innsbruck,16.59,16.72,17.6,24.92,29.69,22.38,26.24
2021,amphetamine,AT005,AT,Kapfenberg,25.01,24.11,30.52,31.85,36.75,35.58,22.43
2021,amphetamine,AT007,AT,Kufstein,24.24,16.19,19.7,10.93,22.68,20.69,24.18
2021,amphetamine,AT010,AT,Purgstall,32.44,17.96,28.18,16.98,22.95,24.59,20.98
2021,amphetamine,AT008,AT,Region Millstättersee,3.37,5.78,3.16,4.17,4.96,2.43,10.7
2021,amphetamine,AT011,AT,Strass im Zillertal,11.25,13.02,17.97,11.38,13.82,11.98,12.26
2021,amphetamine,AT003,AT,Wasserverband Hofsteig,41.57,13.91,29.01,18.21,40.29,17.44,23.82
2021,amphetamine,BE002,BE,Antwerp Zuid,441.07,371.17,425.28,470.05,416.27,444.17,414.67
2021,amphetamine,BE005,BE,Brussels,112.1,66.49,70.31,73.84,71.95,64.59,69.76
2021,amphetamine,CH001,CH,Basel,42.24,41.12,52.14,44.16,39.42,24.74,34.55
2021,amphetamine,CH002,CH,Berne,62.77,53.63,53.97,70.69,51.05,40.13,76.48
2021,amphetamine,CH003,CH,Geneva,10.84,11.88,14.04
2021,amphetamine,CH007,CH,St. Gallen Hofen,77.8,87.95,97.79,89.89,84.17,89.61,77.38
2021,amphetamine,CH008,CH,Zurich,60.92,55.05,58.36,52.28,51.64,53.13,51.49
2021,amphetamine,CY001,CY,Agia Napa,12.47,9.36,16.97,7.93,7.82,18.02,15.96
2021,amphetamine,CY002,CY,Larnaca,9.17,5.16,8.25,2.49,7.23,3.35,3.5
2021,amphetamine,CY003,CY,Limassol,9.07,18.64,2.26,8.63,2.25,4.26,5.69
2021,amphetamine,CY005,CY,Nicosia (2),2.87,3.07,4.4,3.78,5.85,4.97,4.01
2021,amphetamine,CY007,CY,Paphos,6.2,3.48,4.69,4.38,4.14,1.41,5.23
2021,amphetamine,CZ001,CZ,Brno,44.54,45.75,43.08,45.55,50.58,50,49.89
2021,amphetamine,CZ002,CZ,Budweis,26.01,30.47,26.13,25.39,24.98,23.97,27.45
2021,amphetamine,CZ003,CZ,Karlovy Vary,29.42,31.89,33.29,34.07,38.11,36.76,33.28
2021,amphetamine,CZ004,CZ,Ostrava,72.73,61.18,75.05,148.65,69.42,35.95,74.43
2021,amphetamine,CZ005,CZ,Prague (2),36.59,36.66,36.03,42.03,42.09,46.04,41.07
2021,amphetamine,DK001,DK,Copenhagen,88.3,91.82,90.51,100.45,85.65,85.39,98.43
2021,amphetamine,DK002,DK,Odense,84.04,90.87,82.43,79.08,47.96,122.6,128.22
2021,amphetamine,ES001,ES,Barcelona,27.77,28.54,30.31,33.51,27.78,19.87,38.18
2021,amphetamine,ES005,ES,Santiago,13.06,14.95,10.77,16.78,17.41,15.43,12.81
2021,amphetamine,ES006,ES,Tarragona,27.84,33.03,35.32,32.93,31.03,27.2,31.62
2021,amphetamine,FI001,FI,Espoo,193.58,187.68,186.21,214.64,223.23,199.68,160.49
2021,amphetamine,FI003,FI,Helsinki,285.94,295.31,345.42,350.4,357.78,296.72,277.12
2021,amphetamine,FI024,FI,Tampere,152.26,181.56,153.14,159.37,171.32,141.41,126.78
2021,amphetamine,FI025,FI,Turku,183.25,177.15,187.3,220.43,219.95,194.91,186.46
2021,amphetamine,FR005,FR,Paris Seine Centre,0,0,0,0,0,0,0
2021,amphetamine,GB001,GB,Bristol,26.52,,,22.57,20.51,53.18,35.29
2021,amphetamine,GR001,GR,Athens,10.29,10.66,13.99,13.08,13.65,9.55,13.69
2021,amphetamine,HR001,HR,Zagreb,119.26,168.54,141.04,180.55,151.55,174.47,124.45
2021,amphetamine,IT001,IT,Bozen,3.27,6.16,5.59,6.06,5.17,6.01,7.49
2021,amphetamine,IT002,IT,Milan,0,0,0,0,0,0,0
2021,amphetamine,LT001,LT,Kaunas,64.91,54.15,54.39,52.68,60.37,62.58,57.79
2021,amphetamine,LT002,LT,Klaipeda,47.34,38,54.3,45.94,32.54,34.95,46.89
2021,amphetamine,LT003,LT,Vilnius,73.81,,56.73,62.71,86.9,67.28,71.37
2021,amphetamine,LV001,LV,Riga,32.58,36.72,33.79,47.62,56.09,34.3,45.6
2021,amphetamine,NL001,NL,Amsterdam,165.18,147.06,122.46,155.3,162.9,132.4,142.1
2021,amphetamine,NL005,NL,Utrecht,336.67,235.19,186.64,220.76,252.04,224.28,201.99
2021,amphetamine,NO001,NO,Oslo,60.65,38.47,43.64,39.04,53.66,61.58,56.29
2021,amphetamine,PL003,PL,Krakow P,97.21,87.66,101.32,117.24,109.92,87.5,101.11
2021,amphetamine,PT001,PT,Almada,2.09,2.39,3.73,4.28,4.66,3.92,3.24
2021,amphetamine,PT002,PT,Lisbon,5.86,5.01,5.57,5.85,5.64,6.77,4.93
2021,amphetamine,PT003,PT,Porto,0,0,0,0,0,0,0
2021,amphetamine,SE001,SE,Gävle,398.89,364.86,370.54,441.36,486.78,420.96,396.05
2021,amphetamine,SE003,SE,Sandviken,494.8,558.87,616.1,579.84,530.81,361.15,379.69
2021,amphetamine,SE004,SE,Söderhamn,,470.58,380.91,376.72,352.08,485.21,517.59
2021,amphetamine,SE005,SE,Stockholm (2),168.69,173.76,202.76,184.22,171.97,230.42,273.81
2021,amphetamine,SE008,SE,Uppsala,168.43,178.83,225.59,200.96,197.66,246.84,196.86
2021,amphetamine,SI001,SI,Domžale-Kamnik,0,0,0,0,0,0,0
2021,amphetamine,SI002,SI,Koper,0,0,0,0,0,0,0
2021,amphetamine,SI003,SI,Ljubljana,5.87,3.51,4.48,21.83,4.48,2.83
2021,amphetamine,SI004,SI,Maribor,0,0,0,0,0,0,0
2021,amphetamine,SI005,SI,Novo mesto,51.77,55.39,45.31,40.49,2.53,2.58,2.88
2021,amphetamine,SI006,SI,Velenje,99.95,86.5,130.36,111.02,80.5,78.01,55.35
2021,amphetamine,SK002,SK,Bratislava C,7.38,12.25,11.82,8.16,9.84,13.53,26.86
2021,amphetamine,SK004,SK,Piestany,13.95,17.2,9.09,10.29,2.8,10.24,16.55
2021,amphetamine,TR001,TR,Adana,2.5,1.75,1.81,3.52,3.26,2.93,2.72
2021,amphetamine,TR003,TR,Istanbul (II-VII),12.13,12.79,12.06,11.94,10.19,13.59,12.76
2021,cannabis,AT001,AT,Graz,54.77,80.42,60.1,53.88,50.46,77.04,233.51
2021,cannabis,AT002,AT,Hall-Wattens,44.93,19.69,34.03,38.92,25.62,40.21,50.06
2021,cannabis,AT004,AT,Innsbruck,87.9,81.77,117.8,102.25,93.93,88.05,112.37
2021,cannabis,AT005,AT,Kapfenberg,73.92,101.08,81.72,82.54,15.45,121.91,59.07
2021,cannabis,AT007,AT,Kufstein,78.22,78.77,100.19,72.26,115,94.57,99.68
2021,cannabis,AT010,AT,Purgstall,57.31,29.43,40.34,37.43,33.35,34.15,31.98
2021,cannabis,AT008,AT,Region Millstättersee,25.42,20.09,20.24,22.76,36.64,22.58,21.99
2021,cannabis,AT011,AT,Strass im Zillertal,34,32.18,34.47,28.44,29.14,32.03,33.42
2021,cannabis,AT003,AT,Wasserverband Hofsteig,183.05,70.23,90.67,62.85,84.7,72.7,97.23
2021,cannabis,CZ001,CZ,Brno,76.94,77.58,84.1,81.2,84.3,82.69,99.78
2021,cannabis,CZ002,CZ,Budweis,127.02,134.06,114.49,108.82,93.35,104.33,141.43
2021,cannabis,CZ003,CZ,Karlovy Vary,121.91,112.95,100.18,75.78,128.88,176.7,141.75
2021,cannabis,CZ004,CZ,Ostrava,88.78,73.96,86.77,93.24,80.79,56.64,94.42
2021,cannabis,CZ005,CZ,Prague (2),78.58,90.42,82.67,88.44,102.77,97.66,96.69
2021,cannabis,EE001,EE,Narva,35.61,34.81,31.7,35.87,28.68,55.45,39.23
2021,cannabis,EE002,EE,Tartu,25.73,25.46,20.63,16.49,27.98,38.09
2021,cannabis,ES001,ES,Barcelona,572.86,199.57,497.25,846.56,435.1,438.92,201.19
2021,cannabis,ES002,ES,Castellon,73.57,68.9,62.35,46.95,69.32,77.24,69.38
2021,cannabis,ES005,ES,Santiago,97.03,70.37,112.21,86.81,69.62,70.31,72.4
2021,cannabis,ES006,ES,Tarragona,34.12,44.87,40.83,39.27,47.52,44.98,25.85
2021,cannabis,FR005,FR,Paris Seine Centre,133.13,121.55,87.66,75.69,151.34,125.17,129.61
2021,cannabis,GR001,GR,Athens,30.86,31.61,28.91,39.44,65.34,44.94,30.03
2021,cannabis,HR001,HR,Zagreb,119.76,132.57,125.96,143.28,126.85,134.84,147.08
2021,cannabis,IT001,IT,Bozen,34.18,36.25,38.95,35.52,38.79,40.25,44.74
2021,cannabis,IT002,IT,Milan,33.53,37.25,37.69,39.31,38,76,39.11
2021,cannabis,NL001,NL,Amsterdam,162.72,141.72,168.18,169.92,149.04,156.77,155.12
2021,cannabis,NL002,NL,Eindhoven,107.68,131.46,106.64,101.7,118.4,96.65,125.67
2021,cannabis,NL005,NL,Utrecht,125.18,90.75,81.48,66.31,80.83,91.65,90.49
2021,cannabis,PL003,PL,Krakow P,47.95,41.02,50.6,40.74,50.92,50.39,76.41
