ID,name,gender,study,study_weekly,work_weekly,income,rent,abitur,height,weight,age,hair,insta_follower,be_real,spotify_time,phone,iceream,city,sneakers,co2
1,Emma,female,cr,24,9,770,760,2.4,171,69,23,braun,417,12,113,ios,erdbeere,freiburg,balenciaga,8.4
2,Lorena,female,cr,31,8,830,790,2.2,164,55,21,braun,458,11,119,ios,vanille,boeblingen,converse,5.5
3,Linda,female,cr,30,9,800,1040,3.2,168,54,17,braun,545,17,80,android,vanille,stuttgart,converse,11.6
4,Julia,female,cr,16,8,810,660,3.8,181,51,23,braun,569,32,140,ios,NA,tuebingen,newbalance,12.6
5,Lea,female,cr,20,7,810,680,2.8,171,68,21,braun,472,31,64,android,vanille,stuttgart,balenciaga,9.3
6,Livia,female,cr,22,8,830,570,2.5,172,55,20,black,454,18,75,ios,erdbeere,konstanz,converse,9.1
7,Linda,female,pr,23,6,720,470,2.8,179,52,17,blond,543,25,124,android,schokolade,heilbronn,adidas,4.6
8,Lara,female,pr,26,8,760,580,3.2,165,64,21,blond,519,37,93,android,vanille,ludwigsburg,converse,9.3
9,Lorena,female,pr,25,11,820,340,1.4,168,65,15,braun,490,27,83,android,schokolade,tuebingen,newbalance,9.5
10,Vera,female,cr,24,6,810,1170,2.6,182,69,25,blond,527,33,93,ios,vanille,konstanz,adidas,3.7
11,Tilla,female,cr,25,8,820,480,2.2,167,53,20,blond,502,28,106,android,schokolade,esslingen,vans,11.6
12,Vera,female,cr,30,2,720,720,1.8,173,58,21,black,518,23,67,android,NA,sindelfingen,vans,11
13,Luna,female,pr,25,9,800,410,2.6,165,52,19,blond,466,35,121,android,vanille,ludwigsburg,adidas,5.8
14,Lara,female,pr,20,9,780,770,2.6,177,61,18,braun,496,22,83,ios,erdbeere,freiburg,newbalance,9
15,Leonie,female,cr,30,10,740,550,2.8,157,75,15,braun,552,22,92,ios,vanille,stuttgart,vans,11.1
16,Magdalena,female,cr,22,5,900,290,2.1,169,58,17,black,529,32,118,ios,vanille,boeblingen,vans,10.8
17,Toni,female,cr,29,11,850,340,2.5,154,45,26,braun,538,9,99,android,vanille,stuttgart,converse,2.6
18,Magdalena,female,pr,26,7,810,550,2.4,154,68,25,braun,526,29,103,ios,vanille,stuttgart,adidas,10
19,Nina,female,cr,27,8,860,580,1.9,177,66,21,braun,576,25,105,android,NA,boeblingen,converse,5
20,Greta,female,pr,23,8,710,510,2.7,157,60,17,blond,516,13,125,ios,schokolade,sindelfingen,converse,12
21,Toni,female,cr,20,8,830,870,2.1,161,69,19,black,498,20,98,android,erdbeere,freiburg,vans,8.3
22,Jana,female,cr,32,9,850,770,2,157,63,19,blond,544,12,114,android,erdbeere,kirchheim,balenciaga,6.2
23,Livia,female,pr,23,8,950,650,2.6,175,53,23,black,509,29,109,ios,NA,esslingen,converse,7.1
24,Tilla,female,pr,9,7,910,580,2.7,166,71,21,black,451,24,87,android,schokolade,kirchheim,adidas,7.4
25,Clara,female,pr,22,11,830,510,2.2,168,63,27,black,485,21,104,ios,vanille,konstanz,converse,10.4
26,Frieda,female,pr,27,6,770,820,2.4,178,50,16,black,500,0,109,ios,vanille,ludwigsburg,converse,6.5
27,Luise,female,pr,27,7,890,560,2.9,165,67,22,black,517,19,83,ios,NA,stuttgart,vans,7.3
28,Maja,female,pr,19,5,850,610,2.8,175,70,23,black,428,5,57,android,erdbeere,sindelfingen,balenciaga,2
29,Luise,female,pr,26,10,880,570,2.9,175,65,22,braun,447,28,100,android,NA,esslingen,converse,7.7
30,Luana,female,cr,25,5,820,700,2.5,167,72,18,braun,532,12,89,ios,vanille,sindelfingen,vans,12.3
31,Lena,female,cr,29,10,760,880,2.3,180,64,21,braun,424,32,106,ios,erdbeere,boeblingen,nike,4.6
32,Magdalena,female,pr,16,5,860,550,1.8,168,53,20,black,524,26,116,android,NA,freiburg,nike,8.9
33,Lorena,female,pr,34,7,810,510,1.7,171,69,23,black,492,32,93,android,vanille,pforzheim,adidas,8
34,Lara,female,pr,30,5,880,310,2.2,167,58,19,braun,520,14,116,android,schokolade,tuebingen,newbalance,7.9
35,Emilia,female,pr,26,6,830,730,2.8,164,61,17,black,516,17,82,android,NA,konstanz,vans,13.5
36,Lia,female,cr,28,7,830,530,2.6,177,61,23,blond,509,14,85,ios,NA,kirchheim,balenciaga,13.2
37,Maja,female,cr,37,6,850,1030,2.7,184,70,21,blond,470,7,127,ios,NA,heilbronn,balenciaga,5.6
38,Lena,female,cr,17,11,780,560,2.6,176,68,21,blond,428,14,110,android,erdbeere,sindelfingen,adidas,8.4
39,Marie,female,cr,35,10,790,450,3,166,57,17,braun,552,10,120,ios,schokolade,freiburg,balenciaga,7.6
40,Alina,female,pr,23,9,860,360,2.7,186,69,21,blond,569,14,92,ios,vanille,ludwigsburg,nike,5.6
41,Luna,female,pr,31,9,790,820,2.1,174,60,21,blond,515,4,134,ios,NA,esslingen,converse,8.3
42,Julia,female,pr,28,4,750,920,2.7,164,50,25,braun,556,22,87,android,schokolade,reutlingen,vans,2.7
43,Lena,female,pr,23,13,720,630,2.5,171,56,18,blond,630,20,78,ios,NA,kirchheim,newbalance,1.8
44,Sara,female,pr,28,12,830,760,1.9,182,61,19,blond,465,17,138,android,vanille,esslingen,adidas,7.4
45,Toni,female,cr,33,6,830,670,2.7,159,60,21,black,497,30,71,android,erdbeere,boeblingen,vans,6.5
46,Johanna,female,cr,29,9,820,700,2.9,176,58,22,blond,502,12,143,ios,schokolade,sindelfingen,newbalance,7.1
47,Toni,female,pr,38,8,750,850,1.7,172,56,21,braun,500,9,106,android,vanille,esslingen,nike,10.2
48,Luise,female,cr,20,8,860,710,2.4,170,63,21,braun,521,23,78,ios,erdbeere,kirchheim,vans,12.1
49,Emma,female,pr,27,4,800,320,2.8,167,61,25,black,520,34,90,ios,NA,esslingen,vans,8.4
50,Theresa,female,pr,26,6,850,760,2.1,167,71,20,blond,569,15,153,ios,schokolade,konstanz,newbalance,4.4
51,Mia,female,cr,17,7,910,550,2.1,176,39,25,black,517,28,96,ios,erdbeere,freiburg,balenciaga,11.8
52,Ella,female,cr,30,4,800,810,3.1,172,52,21,blond,512,32,104,ios,vanille,heilbronn,balenciaga,9.6
53,Elif,female,pr,31,7,890,640,1.9,169,57,17,black,508,17,118,ios,schokolade,konstanz,converse,4.1
54,Elise,female,pr,22,6,850,350,2.2,162,70,14,braun,518,39,109,android,schokolade,boeblingen,newbalance,7.3
55,Linda,female,cr,18,9,910,690,2.2,161,53,18,braun,451,9,91,ios,vanille,freiburg,nike,9
56,Antonia,female,pr,23,6,790,960,2,162,75,21,braun,578,4,81,ios,erdbeere,heilbronn,vans,9.8
57,Hanna,female,pr,21,6,860,130,2.7,170,48,15,blond,492,30,77,ios,vanille,freiburg,balenciaga,6.9
58,Jana,female,cr,27,9,830,400,3.6,176,60,15,braun,551,24,86,android,NA,boeblingen,balenciaga,9.5
59,Sara,female,cr,22,7,780,600,2,167,66,25,braun,486,27,101,android,schokolade,kirchheim,nike,3.4
60,Lina,female,pr,23,10,820,630,2.8,165,52,21,braun,623,26,138,android,NA,freiburg,converse,11.2
61,Milena,female,pr,26,7,820,750,3.2,172,72,26,blond,325,17,122,ios,vanille,freiburg,adidas,2.2
62,Frieda,female,cr,27,12,860,270,2.1,170,44,21,black,488,22,120,android,schokolade,esslingen,vans,0.4
63,Julia,female,cr,31,12,820,680,1.4,167,59,19,black,495,8,110,ios,NA,ludwigsburg,newbalance,8
64,Clara,female,cr,33,13,870,880,1.6,171,54,20,blond,528,26,86,ios,erdbeere,konstanz,adidas,10.2
65,Tilla,female,cr,27,9,810,250,3.1,159,48,21,blond,560,12,119,ios,erdbeere,esslingen,vans,7.1
66,Lea,female,cr,22,11,820,430,2.3,169,48,20,blond,482,20,81,android,schokolade,freiburg,nike,5.5
67,Amelia,female,pr,20,11,900,720,2.6,166,49,21,braun,412,28,121,ios,schokolade,sindelfingen,nike,7.3
68,Romy,female,cr,32,7,710,540,2.6,168,62,21,black,513,10,72,android,NA,heilbronn,balenciaga,7.3
69,Fiona,female,pr,24,7,830,630,2,164,55,26,blond,568,26,84,ios,NA,freiburg,vans,6.9
70,Lia,female,cr,18,7,780,970,3.6,171,72,22,braun,559,33,113,android,erdbeere,tuebingen,nike,8.9
71,Tilla,female,cr,26,9,810,440,2.7,162,55,18,braun,487,26,108,ios,vanille,boeblingen,adidas,6.2
72,Alina,female,cr,20,11,740,470,2.9,170,67,20,braun,445,17,98,ios,erdbeere,freiburg,converse,6.4
73,Sophia,female,cr,28,8,830,360,2.1,175,53,19,braun,516,12,83,android,NA,stuttgart,newbalance,3.4
74,Lukas,male,cr,24,8,790,860,1.4,184,68,21,braun,394,11,114,android,erdbeere,esslingen,converse,10.8
75,Benjamin,male,cr,19,6,780,1000,3.2,180,55,25,braun,448,42,81,android,vanille,konstanz,nike,5.2
76,Jonathan,male,cr,22,5,840,650,2.3,167,48,19,blond,519,15,78,ios,schokolade,konstanz,nike,6.7
77,Elias,male,cr,22,10,860,660,1.9,158,64,21,braun,490,4,94,android,schokolade,reutlingen,vans,8.6
78,Johannes,male,cr,21,7,850,-40,2.7,173,61,17,blond,650,10,106,ios,schokolade,ludwigsburg,balenciaga,11
79,Marius,male,cr,34,9,740,750,2.7,168,59,23,black,464,18,124,ios,NA,kirchheim,balenciaga,9.1
80,Simon,male,cr,26,7,790,480,2.7,172,62,15,black,547,26,76,android,vanille,sindelfingen,nike,6.5
81,Luca,male,cr,19,9,780,370,2.5,163,66,18,braun,454,25,59,android,erdbeere,kirchheim,newbalance,13
82,Johannes,male,cr,29,9,710,560,3.1,178,55,23,black,397,24,97,ios,schokolade,sindelfingen,newbalance,9.9
83,Marius,male,cr,33,10,820,610,2.6,167,55,18,blond,502,17,131,android,erdbeere,kirchheim,newbalance,7.2
84,Jonathan,male,cr,20,6,900,190,2.4,169,67,18,braun,528,19,62,ios,vanille,ludwigsburg,newbalance,9.7
85,Florian,male,cr,21,8,770,640,3,160,63,18,blond,496,23,112,android,NA,stuttgart,vans,12
86,Simon,male,pr,23,10,880,700,2.3,161,50,19,braun,428,18,119,android,schokolade,reutlingen,vans,3
87,Sebastian,male,pr,25,9,740,770,3.2,160,62,18,blond,533,16,96,ios,erdbeere,reutlingen,converse,14.6
88,Marius,male,cr,27,9,760,680,1.9,182,60,17,black,539,7,63,android,erdbeere,freiburg,nike,9.4
89,Lars,male,cr,26,5,860,580,2.4,161,58,24,blond,576,13,95,android,NA,tuebingen,newbalance,8.6
90,Marius,male,cr,23,10,770,990,2.5,175,55,22,blond,532,14,63,android,vanille,boeblingen,newbalance,11.6
91,Luca,male,pr,22,9,780,1060,2.6,187,62,22,blond,512,37,103,ios,schokolade,ludwigsburg,converse,8.3
92,Alexander,male,pr,25,8,790,850,2.2,165,60,21,braun,426,15,107,ios,NA,pforzheim,vans,5
93,Johannes,male,pr,29,9,900,480,3.3,158,63,21,blond,361,16,126,android,NA,freiburg,nike,4.5
94,Tim,male,pr,17,9,910,490,2.4,165,52,25,blond,463,24,99,android,NA,esslingen,balenciaga,4.1
95,Alexander,male,pr,22,7,810,530,2.7,164,69,19,braun,488,21,102,ios,schokolade,boeblingen,adidas,10.3
